Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Afghanistan,Scotland,Afghanistan,17 runs,Sharjah,"Nov 16, 2013",T20I # 337
Canada,Ireland,Ireland,2 runs,Abu Dhabi,"Nov 16, 2013",T20I # 338
Pakistan,South Africa,South Africa,6 runs,Dubai (DICS),"Nov 15, 2013",T20I # 336
Afghanistan,Netherlands,Netherlands,7 wickets,Sharjah,"Nov 15, 2013",T20I # 335
Pakistan,South Africa,South Africa,9 wickets,Dubai (DICS),"Nov 13, 2013",T20I # 334
Bangladesh,New Zealand,New Zealand,15 runs,Mirpur,"Nov 6, 2013",T20I # 333
Afghanistan,Kenya,Kenya,34 runs,Sharjah,"Oct 11, 2013",T20I # 332
India,Australia,India,6 wickets,Rajkot,"Oct 10, 2013",T20I # 331
Afghanistan,Kenya,Afghanistan,106 runs,Sharjah,"Sep 30, 2013",T20I # 330
England,Australia,England,27 runs,Chester-le-Street,"Aug 31, 2013",T20I # 329
England,Australia,Australia,39 runs,Southampton,"Aug 29, 2013",T20I # 328
Zimbabwe,Pakistan,Pakistan,19 runs,Harare,"Aug 24, 2013",T20I # 327
Zimbabwe,Pakistan,Pakistan,25 runs,Harare,"Aug 23, 2013",T20I # 326
Sri Lanka,South Africa,Sri Lanka,6 wickets,Hambantota,"Aug 6, 2013",T20I # 325
Sri Lanka,South Africa,South Africa,22 runs,Hambantota,"Aug 4, 2013",T20I # 324
Sri Lanka,South Africa,South Africa,12 runs,Colombo (RPS),"Aug 2, 2013",T20I # 323
West Indies,Pakistan,Pakistan,11 runs,Kingstown,"Jul 28, 2013",T20I # 322
West Indies,Pakistan,Pakistan,2 wickets,Kingstown,"Jul 27, 2013",T20I # 321
Scotland,Kenya,Scotland,7 wickets,Aberdeen,"Jul 5, 2013",T20I # 320
Scotland,Kenya,Scotland,35 runs,Aberdeen,"Jul 4, 2013",T20I # 319
England,New Zealand,no result,-,The Oval,"Jun 27, 2013",T20I # 318
England,New Zealand,New Zealand,5 runs,The Oval,"Jun 25, 2013",T20I # 317
Zimbabwe,Bangladesh,Bangladesh,34 runs,Bulawayo,"May 12, 2013",T20I # 316
Zimbabwe,Bangladesh,Zimbabwe,6 runs,Bulawayo,"May 11, 2013",T20I # 315
Kenya,Netherlands,Kenya,7 wickets,Windhoek,"Apr 20, 2013",T20I # 314
Kenya,Netherlands,Kenya,5 wickets,Windhoek,"Apr 19, 2013",T20I # 313
Sri Lanka,Bangladesh,Sri Lanka,17 runs,Pallekele,"Mar 31, 2013",T20I # 312
Canada,Kenya,Kenya,21 runs,ICCA Dubai,"Mar 16, 2013",T20I # 311
Canada,Kenya,Canada,5 wickets,ICCA Dubai,"Mar 15, 2013",T20I # 310
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,"Mar 4, 2013",T20I # 309
West Indies,Zimbabwe,West Indies,41 runs,North Sound,"Mar 3, 2013",T20I # 308
Afghanistan,Scotland,Afghanistan,27 runs,Sharjah,"Mar 3, 2013",T20I # 307
South Africa,Pakistan,Pakistan,95 runs,Centurion,"Mar 3, 2013",T20I # 306
West Indies,Zimbabwe,West Indies,8 wickets,North Sound,"Mar 2, 2013",T20I # 305
New Zealand,England,England,10 wickets,Wellington,"Feb 15, 2013",T20I # 304
Australia,West Indies,West Indies,27 runs,Brisbane,"Feb 13, 2013",T20I # 303
New Zealand,England,New Zealand,55 runs,Hamilton,"Feb 12, 2013",T20I # 302
New Zealand,England,England,40 runs,Auckland,"Feb 9, 2013",T20I # 301
Australia,Sri Lanka,Sri Lanka,2 runs,Melbourne,"Jan 28, 2013",T20I # 300
Australia,Sri Lanka,Sri Lanka,5 wickets,Sydney,"Jan 26, 2013",T20I # 299
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DICS),"Dec 5, 2014",T20I # 412
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DICS),"Dec 4, 2014",T20I # 411
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),"Nov 24, 2014",T20I # 410
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 9, 2014",T20I # 409
Australia,South Africa,Australia,7 wickets,Melbourne,"Nov 7, 2014",T20I # 408
Australia,South Africa,South Africa,7 wickets,Adelaide,"Nov 5, 2014",T20I # 407
Australia,Pakistan,Australia,6 wickets,Dubai (DICS),"Oct 5, 2014",T20I # 406
England,India,England,3 runs,Birmingham,"Sep 7, 2014",T20I # 405
West Indies,Bangladesh,no result,-,Basseterre,"Aug 27, 2014",T20I # 404
West Indies,New Zealand,West Indies,39 runs,Roseau,"Jul 6, 2014",T20I # 403
West Indies,New Zealand,New Zealand,12 runs,Roseau,"Jul 5, 2014",T20I # 402
England,Sri Lanka,Sri Lanka,9 runs,The Oval,"May 20, 2014",T20I # 401
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Apr 6, 2014",T20I # 400
India,South Africa,India,6 wickets,Mirpur,"Apr 4, 2014",T20I # 399
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,"Apr 3, 2014",T20I # 398
Pakistan,West Indies,West Indies,84 runs,Mirpur,"Apr 1, 2014",T20I # 397
Bangladesh,Australia,Australia,7 wickets,Mirpur,"Apr 1, 2014",T20I # 396
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,"Mar 31, 2014",T20I # 395
England,Netherlands,Netherlands,45 runs,Chattogram,"Mar 31, 2014",T20I # 394
Australia,India,India,73 runs,Mirpur,"Mar 30, 2014",T20I # 393
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Mar 30, 2014",T20I # 392
England,South Africa,South Africa,3 runs,Chattogram,"Mar 29, 2014",T20I # 391
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,"Mar 29, 2014",T20I # 390
Bangladesh,India,India,8 wickets,Mirpur,"Mar 28, 2014",T20I # 389
Australia,West Indies,West Indies,6 wickets,Mirpur,"Mar 28, 2014",T20I # 388
England,Sri Lanka,England,6 wickets,Chattogram,"Mar 27, 2014",T20I # 387
Netherlands,South Africa,South Africa,6 runs,Chattogram,"Mar 27, 2014",T20I # 386
Bangladesh,West Indies,West Indies,73 runs,Mirpur,"Mar 25, 2014",T20I # 385
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,"Mar 24, 2014",T20I # 384
New Zealand,South Africa,South Africa,2 runs,Chattogram,"Mar 24, 2014",T20I # 383
India,West Indies,India,7 wickets,Mirpur,"Mar 23, 2014",T20I # 382
Australia,Pakistan,Pakistan,16 runs,Mirpur,"Mar 23, 2014",T20I # 381
England,New Zealand,New Zealand,9 runs,Chattogram,"Mar 22, 2014",T20I # 380
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,"Mar 22, 2014",T20I # 379
India,Pakistan,India,7 wickets,Mirpur,"Mar 21, 2014",T20I # 378
Ireland,Netherlands,Netherlands,6 wickets,Sylhet,"Mar 21, 2014",T20I # 377
U.A.E.,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 21, 2014",T20I # 376
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,"Mar 20, 2014",T20I # 375
Afghanistan,Nepal,Nepal,9 runs,Chattogram,"Mar 20, 2014",T20I # 374
Ireland,U.A.E.,Ireland,21 runs,Sylhet,"Mar 19, 2014",T20I # 373
Netherlands,Zimbabwe,Zimbabwe,5 wickets,Sylhet,"Mar 19, 2014",T20I # 372
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014",T20I # 371
Afghanistan,Hong Kong,Afghanistan,7 wickets,Chattogram,"Mar 18, 2014",T20I # 370
Netherlands,U.A.E.,Netherlands,6 wickets,Sylhet,"Mar 17, 2014",T20I # 369
Ireland,Zimbabwe,Ireland,3 wickets,Sylhet,"Mar 17, 2014",T20I # 368
Hong Kong,Nepal,Nepal,80 runs,Chattogram,"Mar 16, 2014",T20I # 367
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,"Mar 16, 2014",T20I # 366
South Africa,Australia,Australia,6 wickets,Centurion,"Mar 14, 2014",T20I # 365
West Indies,England,England,5 runs,Bridgetown,"Mar 13, 2014",T20I # 364
South Africa,Australia,Australia,5 wickets,Durban,"Mar 12, 2014",T20I # 363
West Indies,England,West Indies,5 wickets,Bridgetown,"Mar 11, 2014",T20I # 362
West Indies,England,West Indies,27 runs,Bridgetown,"Mar 9, 2014",T20I # 361
West Indies,Ireland,West Indies,11 runs,Kingston,"Feb 21, 2014",T20I # 360
West Indies,Ireland,Ireland,6 wickets,Kingston,"Feb 19, 2014",T20I # 359
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,"Feb 14, 2014",T20I # 358
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,"Feb 12, 2014",T20I # 357
Australia,England,Australia,84 runs,Sydney,"Feb 2, 2014",T20I # 356
Australia,England,Australia,8 wickets,Melbourne,"Jan 31, 2014",T20I # 355
Australia,England,Australia,13 runs,Hobart,"Jan 29, 2014",T20I # 354
New Zealand,West Indies,New Zealand,4 wickets,Wellington,"Jan 15, 2014",T20I # 353
New Zealand,West Indies,New Zealand,81 runs,Auckland,"Jan 11, 2014",T20I # 352
England,Pakistan,tied,-,Sharjah,"Nov 30, 2015",T20I # 473
Afghanistan,Oman,Afghanistan,12 runs,Abu Dhabi,"Nov 30, 2015",T20I # 472
Afghanistan,Oman,Afghanistan,27 runs,Abu Dhabi,"Nov 29, 2015",T20I # 471
Afghanistan,Hong Kong,Hong Kong,4 wickets,Abu Dhabi,"Nov 28, 2015",T20I # 470
England,Pakistan,England,3 runs,Dubai (DICS),"Nov 27, 2015",T20I # 469
England,Pakistan,England,14 runs,Dubai (DICS),"Nov 26, 2015",T20I # 468
Hong Kong,Oman,Hong Kong,8 wickets,Abu Dhabi,"Nov 26, 2015",T20I # 467
Hong Kong,Oman,Oman,4 runs,Abu Dhabi,"Nov 25, 2015",T20I # 466
U.A.E.,Oman,U.A.E.,7 wickets,Abu Dhabi,"Nov 22, 2015",T20I # 465
Hong Kong,Oman,Oman,6 wickets,Abu Dhabi,"Nov 21, 2015",T20I # 464
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Mirpur,"Nov 15, 2015",T20I # 463
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Mirpur,"Nov 13, 2015",T20I # 462
Sri Lanka,West Indies,West Indies,23 runs,Colombo (RPS),"Nov 11, 2015",T20I # 461
Sri Lanka,West Indies,Sri Lanka,30 runs,Pallekele,"Nov 9, 2015",T20I # 460
Zimbabwe,Afghanistan,Afghanistan,5 wickets,Bulawayo,"Oct 28, 2015",T20I # 459
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Bulawayo,"Oct 26, 2015",T20I # 458
India,South Africa,South Africa,6 wickets,Cuttack,"Oct 5, 2015",T20I # 457
India,South Africa,South Africa,7 wickets,Dharamsala,"Oct 2, 2015",T20I # 456
Zimbabwe,Pakistan,Pakistan,15 runs,Harare,"Sep 29, 2015",T20I # 455
Zimbabwe,Pakistan,Pakistan,13 runs,Harare,"Sep 27, 2015",T20I # 454
England,Australia,England,5 runs,Cardiff,"Aug 31, 2015",T20I # 453
South Africa,New Zealand,New Zealand,32 runs,Centurion,"Aug 16, 2015",T20I # 452
South Africa,New Zealand,South Africa,6 wickets,Durban,"Aug 14, 2015",T20I # 451
Zimbabwe,New Zealand,New Zealand,80 runs,Harare,"Aug 9, 2015",T20I # 450
Sri Lanka,Pakistan,Pakistan,1 wicket,Colombo (RPS),"Aug 1, 2015",T20I # 449
Sri Lanka,Pakistan,Pakistan,29 runs,Colombo (RPS),"Jul 30, 2015",T20I # 448
Ireland,Netherlands,Netherlands,5 wickets,Dublin (Malahide),"Jul 25, 2015",T20I # 447
Hong Kong,Scotland,Scotland,5 wickets,Dublin (Malahide),"Jul 25, 2015",T20I # 445
Afghanistan,Oman,Afghanistan,5 wickets,Dublin,"Jul 25, 2015",T20I # 446
Afghanistan,P.N.G.,Afghanistan,6 wickets,Dublin (Malahide),"Jul 23, 2015",T20I # 444
Afghanistan,Hong Kong,Hong Kong,5 wickets,Dublin (Malahide),"Jul 21, 2015",T20I # 443
Zimbabwe,India,Zimbabwe,10 runs,Harare,"Jul 19, 2015",T20I # 442
Ireland,Hong Kong,Hong Kong,5 runs,Dublin (Malahide),"Jul 17, 2015",T20I # 441
Zimbabwe,India,India,54 runs,Harare,"Jul 17, 2015",T20I # 440
Nepal,P.N.G.,P.N.G.,8 wickets,Dublin (Malahide),"Jul 17, 2015",T20I # 439
Hong Kong,Nepal,Hong Kong,5 wickets,Belfast,"Jul 15, 2015",T20I # 438
Ireland,P.N.G.,P.N.G.,2 wickets,Belfast,"Jul 15, 2015",T20I # 437
Ireland,Nepal,Ireland,8 wickets,Belfast,"Jul 13, 2015",T20I # 436
Scotland,Afghanistan,Afghanistan,37 runs,Edinburgh,"Jul 12, 2015",T20I # 435
Netherlands,U.A.E.,Netherlands,7 wickets,Edinburgh,"Jul 12, 2015",T20I # 434
Scotland,Netherlands,Netherlands,32 runs,Edinburgh,"Jul 11, 2015",T20I # 433
Afghanistan,U.A.E.,Afghanistan,8 wickets,Edinburgh,"Jul 10, 2015",T20I # 432
Afghanistan,Netherlands,Afghanistan,32 runs,Edinburgh,"Jul 9, 2015",T20I # 431
Scotland,U.A.E.,Scotland,9 wickets,Edinburgh,"Jul 9, 2015",T20I # 430
Bangladesh,South Africa,South Africa,31 runs,Mirpur,"Jul 7, 2015",T20I # 429
Bangladesh,South Africa,South Africa,52 runs,Mirpur,"Jul 5, 2015",T20I # 428
Netherlands,Nepal,Nepal,3 wickets,Rotterdam,"Jul 3, 2015",T20I # 427
Netherlands,Nepal,Netherlands,18 runs,Rotterdam,"Jul 2, 2015",T20I # 426
Netherlands,Nepal,Netherlands,103 runs,Amstelveen,"Jul 1, 2015",T20I # 425
Netherlands,Nepal,Netherlands,18 runs,Amstelveen,"Jun 30, 2015",T20I # 424
England,New Zealand,England,56 runs,Manchester,"Jun 23, 2015",T20I # 423
Ireland,Scotland,no result,-,Bready,"Jun 21, 2015",T20I # 422
Ireland,Scotland,Scotland,6 wickets,Bready,"Jun 20, 2015",T20I # 421
Ireland,Scotland,no result,-,Bready,"Jun 19, 2015",T20I # 420
Ireland,Scotland,Scotland,6 wickets,Bready,"Jun 18, 2015",T20I # 419
Pakistan,Zimbabwe,Pakistan,2 wickets,Lahore,"May 24, 2015",T20I # 418
Pakistan,Zimbabwe,Pakistan,5 wickets,Lahore,"May 22, 2015",T20I # 417
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,"Apr 24, 2015",T20I # 416
South Africa,West Indies,South Africa,69 runs,Durban,"Jan 14, 2015",T20I # 415
South Africa,West Indies,West Indies,4 wickets,Johannesburg,"Jan 11, 2015",T20I # 414
South Africa,West Indies,West Indies,4 wickets,Cape Town,"Jan 9, 2015",T20I # 413
U.A.E.,Afghanistan,Afghanistan,44 runs,ICCA Dubai,"Dec 18, 2016",T20I # 573
U.A.E.,Afghanistan,Afghanistan,5 wickets,Dubai (DICS),"Dec 16, 2016",T20I # 572
U.A.E.,Afghanistan,Afghanistan,11 runs,ICCA Dubai,"Dec 14, 2016",T20I # 571
Pakistan,West Indies,Pakistan,8 wickets,Abu Dhabi,"Sep 27, 2016",T20I # 570
Pakistan,West Indies,Pakistan,16 runs,Dubai (DICS),"Sep 24, 2016",T20I # 569
Pakistan,West Indies,Pakistan,9 wickets,Dubai (DICS),"Sep 23, 2016",T20I # 568
Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Sep 9, 2016",T20I # 567
England,Pakistan,Pakistan,9 wickets,Manchester,"Sep 7, 2016",T20I # 566
Sri Lanka,Australia,Australia,85 runs,Pallekele,"Sep 6, 2016",T20I # 565
Ireland,Hong Kong,Hong Kong,40 runs,Bready,"Sep 5, 2016",T20I # 564
India,West Indies,no result,-,Lauderhill,"Aug 28, 2016",T20I # 563
India,West Indies,West Indies,1 run,Lauderhill,"Aug 27, 2016",T20I # 562
England,Sri Lanka,England,8 wickets,Southampton,"Jul 5, 2016",T20I # 561
Zimbabwe,India,India,3 runs,Harare,"Jun 22, 2016",T20I # 560
Zimbabwe,India,India,10 wickets,Harare,"Jun 20, 2016",T20I # 559
Zimbabwe,India,Zimbabwe,2 runs,Harare,"Jun 18, 2016",T20I # 558
England,West Indies,West Indies,4 wickets,Eden Gardens,"Apr 3, 2016",T20I # 557
India,West Indies,West Indies,7 wickets,Wankhede,"Mar 31, 2016",T20I # 556
England,New Zealand,England,7 wickets,Delhi,"Mar 30, 2016",T20I # 555
South Africa,Sri Lanka,South Africa,8 wickets,Delhi,"Mar 28, 2016",T20I # 554
India,Australia,India,6 wickets,Mohali,"Mar 27, 2016",T20I # 553
Afghanistan,West Indies,Afghanistan,6 runs,Nagpur,"Mar 27, 2016",T20I # 552
England,Sri Lanka,England,10 runs,Delhi,"Mar 26, 2016",T20I # 551
Bangladesh,New Zealand,New Zealand,75 runs,Eden Gardens,"Mar 26, 2016",T20I # 550
South Africa,West Indies,West Indies,3 wickets,Nagpur,"Mar 25, 2016",T20I # 549
Australia,Pakistan,Australia,21 runs,Mohali,"Mar 25, 2016",T20I # 548
India,Bangladesh,India,1 run,Bengaluru,"Mar 23, 2016",T20I # 547
Afghanistan,England,England,15 runs,Delhi,"Mar 23, 2016",T20I # 546
New Zealand,Pakistan,New Zealand,22 runs,Mohali,"Mar 22, 2016",T20I # 545
Australia,Bangladesh,Australia,3 wickets,Bengaluru,"Mar 21, 2016",T20I # 544
Sri Lanka,West Indies,West Indies,7 wickets,Bengaluru,"Mar 20, 2016",T20I # 543
Afghanistan,South Africa,South Africa,37 runs,Wankhede,"Mar 20, 2016",T20I # 542
India,Pakistan,India,6 wickets,Eden Gardens,"Mar 19, 2016",T20I # 541
England,South Africa,England,2 wickets,Wankhede,"Mar 18, 2016",T20I # 540
Australia,New Zealand,New Zealand,8 runs,Dharamsala,"Mar 18, 2016",T20I # 539
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Eden Gardens,"Mar 17, 2016",T20I # 538
England,West Indies,West Indies,6 wickets,Wankhede,"Mar 16, 2016",T20I # 537
Bangladesh,Pakistan,Pakistan,55 runs,Eden Gardens,"Mar 16, 2016",T20I # 536
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",T20I # 535
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,"Mar 13, 2016",T20I # 534
Ireland,Netherlands,Netherlands,12 runs,Dharamsala,"Mar 13, 2016",T20I # 533
Hong Kong,Scotland,Scotland,8 wickets,Nagpur,"Mar 12, 2016",T20I # 532
Afghanistan,Zimbabwe,Afghanistan,59 runs,Nagpur,"Mar 12, 2016",T20I # 531
Bangladesh,Ireland,no result,-,Dharamsala,"Mar 11, 2016",T20I # 530
Netherlands,Oman,no result,-,Dharamsala,"Mar 11, 2016",T20I # 529
Afghanistan,Hong Kong,Afghanistan,6 wickets,Nagpur,"Mar 10, 2016",T20I # 528
Scotland,Zimbabwe,Zimbabwe,11 runs,Nagpur,"Mar 10, 2016",T20I # 527
South Africa,Australia,Australia,6 wickets,Cape Town,"Mar 9, 2016",T20I # 526
Ireland,Oman,Oman,2 wickets,Dharamsala,"Mar 9, 2016",T20I # 525
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,"Mar 9, 2016",T20I # 524
Afghanistan,Scotland,Afghanistan,14 runs,Nagpur,"Mar 8, 2016",T20I # 523
Hong Kong,Zimbabwe,Zimbabwe,14 runs,Nagpur,"Mar 8, 2016",T20I # 522
Bangladesh,India,India,8 wickets,Mirpur,"Mar 6, 2016",T20I # 521
South Africa,Australia,Australia,5 wickets,Johannesburg,"Mar 6, 2016",T20I # 520
South Africa,Australia,South Africa,3 wickets,Durban,"Mar 4, 2016",T20I # 519
Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur,"Mar 4, 2016",T20I # 518
India,U.A.E.,India,9 wickets,Mirpur,"Mar 3, 2016",T20I # 517
Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur,"Mar 2, 2016",T20I # 516
India,Sri Lanka,India,5 wickets,Mirpur,"Mar 1, 2016",T20I # 515
Pakistan,U.A.E.,Pakistan,7 wickets,Mirpur,"Feb 29, 2016",T20I # 514
Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur,"Feb 28, 2016",T20I # 513
India,Pakistan,India,5 wickets,Mirpur,"Feb 27, 2016",T20I # 512
Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur,"Feb 26, 2016",T20I # 511
Sri Lanka,U.A.E.,Sri Lanka,14 runs,Mirpur,"Feb 25, 2016",T20I # 510
Bangladesh,India,India,45 runs,Mirpur,"Feb 24, 2016",T20I # 509
Oman,U.A.E.,U.A.E.,71 runs,Mirpur,"Feb 22, 2016",T20I # 508
Afghanistan,Hong Kong,Afghanistan,66 runs,Mirpur,"Feb 22, 2016",T20I # 507
South Africa,England,South Africa,9 wickets,Johannesburg,"Feb 21, 2016",T20I # 506
Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah,"Feb 21, 2016",T20I # 505
Afghanistan,Oman,Afghanistan,3 wickets,Fatullah,"Feb 20, 2016",T20I # 504
South Africa,England,South Africa,3 wickets,Cape Town,"Feb 19, 2016",T20I # 503
Hong Kong,Oman,Oman,5 runs,Fatullah,"Feb 19, 2016",T20I # 502
Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah,"Feb 19, 2016",T20I # 501
U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi,"Feb 16, 2016",T20I # 500
India,Sri Lanka,India,9 wickets,Visakhapatnam,"Feb 14, 2016",T20I # 499
U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi,"Feb 14, 2016",T20I # 498
India,Sri Lanka,India,69 runs,Ranchi,"Feb 12, 2016",T20I # 497
India,Sri Lanka,Sri Lanka,5 wickets,Pune,"Feb 9, 2016",T20I # 496
Ireland,P.N.G.,P.N.G.,11 runs,Townsville,"Feb 9, 2016",T20I # 495
Ireland,P.N.G.,Ireland,7 runs,Townsville,"Feb 7, 2016",T20I # 494
Ireland,P.N.G.,Ireland,5 wickets,Townsville,"Feb 6, 2016",T20I # 493
Netherlands,Scotland,Scotland,37 runs,ICCA Dubai,"Feb 5, 2016",T20I # 492
U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai,"Feb 4, 2016",T20I # 491
U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai,"Feb 3, 2016",T20I # 490
Australia,India,India,7 wickets,Sydney,"Jan 31, 2016",T20I # 489
Hong Kong,Scotland,Scotland,37 runs,Mong Kok,"Jan 31, 2016",T20I # 488
Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok,"Jan 30, 2016",T20I # 487
Australia,India,India,27 runs,Melbourne,"Jan 29, 2016",T20I # 486
Australia,India,India,37 runs,Adelaide,"Jan 26, 2016",T20I # 485
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,"Jan 22, 2016",T20I # 484
New Zealand,Pakistan,New Zealand,95 runs,Wellington,"Jan 22, 2016",T20I # 483
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,"Jan 20, 2016",T20I # 482
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,"Jan 17, 2016",T20I # 481
New Zealand,Pakistan,New Zealand,10 wickets,Hamilton,"Jan 17, 2016",T20I # 480
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016",T20I # 479
New Zealand,Pakistan,Pakistan,16 runs,Auckland,"Jan 15, 2016",T20I # 478
Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah,"Jan 10, 2016",T20I # 477
New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland,"Jan 10, 2016",T20I # 476
Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah,"Jan 8, 2016",T20I # 475
New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui,"Jan 7, 2016",T20I # 474
New Zealand,West Indies,New Zealand,47 runs,Nelson,"Dec 29, 2017",T20I # 636
India,Sri Lanka,India,5 wickets,Wankhede,"Dec 24, 2017",T20I # 635
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",T20I # 634
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",T20I # 633
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,"Oct 29, 2017",T20I # 629
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017",T20I # 628
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,"Oct 27, 2017",T20I # 627
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 26, 2017",T20I # 625
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017",T20I # 626
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",T20I # 624
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",T20I # 623
England,West Indies,West Indies,21 runs,Chester-le-Street,"Sep 16, 2017",T20I # 622
Pakistan,World-XI,Pakistan,33 runs,Lahore,"Sep 15, 2017",T20I # 621
Pakistan,World-XI,World-XI,7 wickets,Lahore,"Sep 13, 2017",T20I # 620
Pakistan,World-XI,Pakistan,20 runs,Lahore,"Sep 12, 2017",T20I # 619
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Sep 6, 2017",T20I # 618
West Indies,India,West Indies,9 wickets,Kingston,"Jul 9, 2017",T20I # 617
England,South Africa,England,19 runs,Cardiff,"Jun 25, 2017",T20I # 616
England,South Africa,South Africa,3 runs,Taunton,"Jun 23, 2017",T20I # 615
England,South Africa,England,9 wickets,Southampton,"Jun 21, 2017",T20I # 614
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,"Jun 5, 2017",T20I # 613
West Indies,Afghanistan,West Indies,29 runs,Basseterre,"Jun 3, 2017",T20I # 612
West Indies,Afghanistan,West Indies,6 wickets,Basseterre,"Jun 2, 2017",T20I # 611
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 14, 2017",T20I # 610
U.A.E.,P.N.G.,U.A.E.,30 runs,Abu Dhabi,"Apr 14, 2017",T20I # 609
U.A.E.,P.N.G.,U.A.E.,5 wickets,Abu Dhabi,"Apr 12, 2017",T20I # 608
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),"Apr 6, 2017",T20I # 607
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Apr 4, 2017",T20I # 606
West Indies,Pakistan,Pakistan,7 wickets,Port of Spain,"Apr 2, 2017",T20I # 605
West Indies,Pakistan,West Indies,7 wickets,Port of Spain,"Apr 1, 2017",T20I # 604
West Indies,Pakistan,Pakistan,3 runs,Port of Spain,"Mar 30, 2017",T20I # 603
West Indies,Pakistan,Pakistan,6 wickets,Bridgetown,"Mar 26, 2017",T20I # 602
Afghanistan,Ireland,Afghanistan,28 runs,Greater Noida,"Mar 12, 2017",T20I # 601
Afghanistan,Ireland,Afghanistan,17 runs,Greater Noida,"Mar 10, 2017",T20I # 600
Afghanistan,Ireland,Afghanistan,6 wickets,Greater Noida,"Mar 8, 2017",T20I # 599
Australia,Sri Lanka,Australia,41 runs,Adelaide,"Feb 22, 2017",T20I # 598
